Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13421400,Big Data: Principles and best practices of scalable realtime data systems,Nathan Marz,"Marz, Nathan",James Warren,"=""1617290343""","=""9781617290343""",4,3.84,Manning,Paperback,328,2015,2012,2016/08/13,2016/08/05,"programming, distributed-systems","programming (#59), distributed-systems (#2)",read,,,,1,0
18652140,Distributed Systems For Fun and Profit,Mikito Takada,"Takada, Mikito",,"=""""","=""""",4,4.19,,ebook,60,2013,,2014/01/19,2014/01/19,"programming, distributed-systems","programming (#42), distributed-systems (#1)",read,,,,1,0
17743,Beautiful Evidence,Edward R. Tufte,"Tufte, Edward R.",,"=""0961392177""","=""9780961392178""",4,4.15,Graphics Press LLC,Hardcover,213,2006,2006,2016/02/12,2016/02/12,"programming, visualization","programming (#53), visualization (#4)",read,,,,1,0
17746,Visual Explanations,Edward R. Tufte,"Tufte, Edward R.",,"=""0961392126""","=""9780961392123""",4,4.29,Graphics Press,Hardcover,156,1998,1997,2017/05/10,2017/03/28,"programming, visualization","programming (#65), visualization (#6)",read,,,,1,0
15765619,On the Map: A Mind-Expanding Exploration of the Way the World Looks,Simon Garfield,"Garfield, Simon",Dava Sobel,"=""159240779X""","=""9781592407798""",2,3.68,Gotham,Hardcover,464,2012,2012,2016/06/01,2016/06/01,visualization,visualization (#5),read,,,,1,0
853213,Svg Essentials,J. David Eisenberg,"Eisenberg, J. David",,"=""0596002238""","=""9780596002237""",3,3.64,O'Reilly Media,Paperback,360,2002,2002,2012/08/25,2012/08/22,"programming, visualization","programming (#30), visualization (#1)",read,,,,1,0
17744,The Visual Display of Quantitative Information,Edward R. Tufte,"Tufte, Edward R.",,"=""0961392142""","=""9780961392147""",4,4.39,Graphics Press,Hardcover,197,2001,1983,2015/04/05,2015/04/04,"programming, visualization","programming (#46), visualization (#2)",read,,,,1,0
17745,Envisioning Information,Edward R. Tufte,"Tufte, Edward R.",,"=""0961392118""","=""9780961392116""",4,4.23,Graphics Press,Hardcover,126,1992,1990,2015/05/30,2015/05/30,"programming, visualization","programming (#48), visualization (#3)",read,,,,1,0
1122695,The Little MLer,Matthias Felleisen,"Felleisen, Matthias",Daniel P. Friedman,"=""026256114X""","=""9780262561143""",4,3.89,MIT Press,Paperback,198,1998,1997,2018/01/19,2017/12/15,programming,programming (#73),read,,,,1,0
4415662,Git Internals,Scott Chacon,"Chacon, Scott",,"=""""","=""""",3,4.09,Peepcode Press,ebook,120,2008,2008,2017/12/31,2017/12/31,programming,programming (#72),read,,,,1,0
3131525,The Art of Multiprocessor Programming,Maurice Herlihy,"Herlihy, Maurice",Nir Shavit,"=""0123705916""","=""9780123705914""",5,4.00,Morgan Kaufmann Publishers,Paperback,508,2008,2008,2017/12/02,2017/05/07,programming,programming (#71),read,,,,1,0
